timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
25576513,32767,32767,32767,32767,32767,32767
25600514,32767,32767,32767,32767,32767,32767
25604513,32767,32767,32767,32767,32767,32767
25608513,32767,32767,32767,32767,32767,32767
25612513,32767,32767,32767,32767,32767,32767
25616513,32767,32767,32767,32767,32767,32767
25620513,32767,32767,32767,32767,32767,32767
25624513,32767,32767,32767,32767,32767,32767
25628534,32767,32767,32767,32767,32767,32767
25632513,32767,32767,32767,32767,32767,32767
25636513,32767,32767,32767,32767,32767,32767
25640513,32767,32767,32767,32767,32767,32767
25644513,32767,32767,32767,32767,32767,32767
25648513,32767,32767,32767,32767,32767,32767
25652526,32767,32767,32767,32767,32767,32767
25656513,32767,32767,32767,32767,32767,32767
25660513,32767,32767,32767,32767,32767,32767
25664513,32767,32767,32767,32767,32767,32767
25669313,32767,32767,32767,32767,32767,32767
25673328,32767,32767,32767,32767,32767,32767
25677313,32767,32767,32767,32767,32767,32767
25681314,32767,32767,32767,32767,32767,32767
25685316,32767,32767,32767,32767,32767,32767
25689313,32767,32767,32767,32767,32767,32767
25693313,32767,32767,32767,32767,32767,32767
25697313,32767,32767,32767,32767,32767,32767
25701313,32767,32767,32767,32767,32767,32767
25705313,32767,32767,32767,32767,32767,32767
25709333,32767,32767,32767,32767,32767,32767
25713337,32767,32767,32767,32767,32767,32767
25717313,32767,32767,32767,32767,32767,32767
25721314,32767,32767,32767,32767,32767,32767
25725313,32767,32767,32767,32767,32767,32767
25729330,32767,32767,32767,32767,32767,32767
25733340,32767,32767,32767,32767,32767,32767
25737313,32767,32767,32767,32767,32767,32767
25741313,32767,32767,32767,32767,32767,32767
25745313,32767,32767,32767,32767,32767,32767
25749313,32767,32767,32767,32767,32767,32767
25753356,32767,32767,32767,32767,32767,32767
25757313,32767,32767,32767,32767,32767,32767
25761313,32767,32767,32767,32767,32767,32767
25765313,32767,32767,32767,32767,32767,32767
25769313,-53,32767,32767,32767,32767,32767
25773363,32767,32767,32767,32767,32767,32767
25777313,32767,32767,32767,32767,32767,32767
25781313,32767,32767,32767,32767,32767,32767
25785314,32767,32767,32767,32767,32767,32767
25789313,32767,32767,32767,32767,32767,32767
25793354,32767,32767,32767,32767,32767,32767
25797313,32767,32767,32767,32767,32767,32767
25801313,32767,32767,32767,32767,32767,32767
25805313,32767,32767,32767,32767,32767,32767
25809313,32767,32767,32767,32767,32767,32767
25813334,32767,32767,32767,32767,32767,32767
25817313,32767,32767,32767,32767,32767,32767
25821313,32767,32767,32767,32767,32767,32767
25825313,32767,32767,32767,32767,32767,32767
25829313,32767,32767,32767,32767,32767,32767
25833313,32767,32767,32767,32767,32767,32767
25837313,32767,32767,32767,32767,32767,32767
25841313,32767,32767,32767,32767,32767,32767
25845313,32767,32767,32767,32767,32767,32767
25849313,32767,32767,32767,32767,32767,32767
25853358,32767,32767,32767,32767,32767,32767
25857313,32767,32767,32767,32767,32767,32767
25861321,32767,32767,32767,32767,32767,32767
25865313,32767,32767,32767,32767,32767,32767
25869313,32767,32767,32767,32767,32767,32767
25873313,32767,32767,32767,32767,32767,32767
25877333,32767,32767,32767,32767,32767,32767
25881327,32767,32767,32767,32767,32767,32767
25885314,32767,32767,32767,32767,32767,32767
25889313,32767,32767,32767,32767,32767,32767
25893313,32767,32767,32767,32767,32767,32767
25897330,32767,32767,32767,32767,32767,32767
25901346,32767,32767,32767,32767,32767,32767
25905313,32767,32767,32767,32767,32767,32767
25910113,32767,32767,32767,32767,32767,32767
25914119,32767,32767,32767,32767,32767,32767
25918129,32767,32767,32767,32767,32767,32767
25922154,32767,32767,32767,32767,32767,32767
25926115,32767,32767,32767,32767,32767,32767
25930113,32767,32767,32767,32767,32767,32767
25934135,32767,32767,32767,32767,32767,32767
25938142,32767,32767,32767,32767,32767,32767
25942160,32767,32767,32767,32767,32767,32767
25946126,32767,32767,32767,32767,32767,32767
25950117,32767,32767,32767,32767,32767,32767
25954117,32767,32767,32767,32767,32767,32767
25958134,32767,32767,32767,32767,32767,32767
25962124,32767,32767,32767,32767,32767,32767
25966113,32767,32767,32767,32767,32767,32767
25970113,-30,32767,32767,32767,32767,32767
25974113,32767,32767,32767,32767,32767,32767
25978174,32767,32767,32767,32767,32767,32767
25982162,32767,32767,32767,32767,32767,32767
25986117,32767,32767,32767,32767,32767,32767
25990117,32767,32767,32767,32767,32767,32767
25994113,32767,32767,32767,32767,32767,32767
25998124,32767,32767,32767,32767,32767,32767
26002154,32767,32767,32767,32767,32767,32767
26006114,32767,32767,32767,32767,32767,32767
26010116,32767,32767,32767,32767,32767,32767
26014123,32767,32767,32767,32767,32767,32767
26018123,32767,32767,32767,32767,32767,32767
26022154,32767,32767,32767,32767,32767,32767
26026113,32767,32767,32767,32767,32767,32767
26030126,32767,32767,32767,32767,32767,32767
26034113,32767,32767,32767,32767,32767,32767
26038126,32767,32767,32767,32767,32767,32767
26042114,32767,32767,32767,32767,32767,32767
26046113,32767,32767,32767,32767,32767,32767
26050121,32767,32767,32767,32767,32767,32767
26054113,32767,32767,32767,32767,32767,32767
26058133,32767,32767,32767,32767,32767,32767
26062151,32767,32767,32767,32767,32767,32767
26066113,32767,32767,32767,32767,32767,32767
26070141,32767,32767,32767,32767,32767,32767
26074114,32767,32767,32767,32767,32767,32767
26078130,32767,32767,32767,32767,32767,32767
26082120,32767,32767,32767,32767,32767,32767
26086115,32767,32767,32767,32767,32767,32767
26090124,32767,32767,32767,32767,32767,32767
26094113,32767,32767,32767,32767,32767,32767
26098159,32767,32767,32767,32767,32767,32767
26102135,32767,32767,32767,32767,32767,32767
26106113,32767,32767,32767,32767,32767,32767
26110148,32767,32767,32767,32767,32767,32767
26114113,32767,32767,32767,32767,32767,32767
26118121,32767,32767,32767,32767,32767,32767
26122113,32767,32767,32767,32767,32767,32767
26126123,32767,32767,32767,32767,32767,32767
26130158,32767,32767,32767,32767,32767,32767
26134115,32767,32767,32767,32767,32767,32767
26138139,32767,32767,32767,32767,32767,32767
26142117,32767,32767,32767,32767,32767,32767
26146153,32767,32767,32767,32767,32767,32767
26150139,32767,32767,32767,32767,32767,32767
26154116,32767,32767,32767,32767,32767,32767
26158144,32767,32767,32767,32767,32767,32767
26162114,32767,32767,32767,32767,32767,32767
26166133,32767,32767,32767,32767,32767,32767
26170139,32767,32767,32767,32767,32767,32767
26174114,-51,32767,32767,32767,32767,32767
26178156,32767,32767,32767,32767,32767,32767
26182113,32767,32767,32767,32767,32767,32767
26186139,32767,32767,32767,32767,32767,32767
26190113,32767,32767,32767,32767,32767,32767
26194113,32767,32767,32767,32767,32767,32767
26198123,32767,32767,32767,32767,32767,32767
26202116,32767,32767,32767,32767,32767,32767
26206114,32767,32767,32767,32767,32767,32767
26210113,32767,32767,32767,32767,32767,32767
26214913,32767,32767,32767,32767,32767,32767
26218913,32767,32767,32767,32767,32767,32767
26222913,32767,32767,32767,32767,32767,32767
26226913,32767,32767,32767,32767,32767,32767
26230961,32767,32767,32767,32767,32767,32767
26234913,32767,32767,32767,32767,32767,32767
26238913,32767,32767,32767,32767,32767,32767
26242913,32767,32767,32767,32767,32767,32767
26246928,32767,32767,32767,32767,32767,32767
26250949,32767,32767,32767,32767,32767,32767
26254913,32767,32767,32767,32767,32767,32767
26258913,32767,32767,32767,32767,32767,32767
26262913,32767,32767,32767,32767,32767,32767
26266930,32767,32767,32767,32767,32767,32767
26270913,32767,32767,32767,32767,32767,32767
26274913,32767,32767,32767,32767,32767,32767
26278913,32767,32767,32767,32767,32767,32767
26282913,32767,32767,32767,32767,32767,32767
26286913,32767,32767,32767,32767,32767,32767
26290913,32767,32767,32767,32767,32767,32767
26294913,32767,32767,32767,32767,32767,32767
26298913,32767,32767,32767,32767,32767,32767
26302913,32767,32767,32767,32767,32767,32767
26306913,32767,32767,32767,32767,32767,32767
26310913,32767,32767,32767,32767,32767,32767
26314914,32767,32767,32767,32767,32767,32767
26318913,32767,32767,32767,32767,32767,32767
26322913,32767,32767,32767,32767,32767,32767
26326913,32767,32767,32767,32767,32767,32767
26330913,32767,32767,32767,32767,32767,32767
26334913,32767,32767,32767,32767,32767,32767
26338937,32767,32767,32767,32767,32767,32767
26342913,32767,32767,32767,32767,32767,32767
26346913,32767,32767,32767,32767,32767,32767
26350929,32767,32767,32767,32767,32767,32767
26354913,32767,32767,32767,32767,32767,32767
26358914,32767,32767,32767,32767,32767,32767
26362913,32767,32767,32767,32767,32767,32767
26366913,32767,32767,32767,32767,32767,32767
26370913,32767,32767,32767,32767,32767,32767
26374913,32767,32767,32767,32767,32767,32767
26378930,-66,32767,32767,32767,32767,32767
26382913,32767,32767,32767,32767,32767,32767
26386913,32767,32767,32767,32767,32767,32767
26390927,32767,32767,32767,32767,32767,32767
26394913,32767,32767,32767,32767,32767,32767
26399719,32767,32767,32767,32767,32767,32767
26403713,32767,32767,32767,32767,32767,32767
26407713,32767,32767,32767,32767,32767,32767
26411715,32767,32767,32767,32767,32767,32767
26415714,32767,32767,32767,32767,32767,32767
26419736,32767,32767,32767,32767,32767,32767
26423759,32767,32767,32767,32767,32767,32767
26427713,32767,32767,32767,32767,32767,32767
26431729,32767,32767,32767,32767,32767,32767
26435713,32767,32767,32767,32767,32767,32767
26439756,32767,32767,32767,32767,32767,32767
26443713,32767,32767,32767,32767,32767,32767
26447713,32767,32767,32767,32767,32767,32767
26451741,32767,32767,32767,32767,32767,32767
26455713,32767,32767,32767,32767,32767,32767
26459762,32767,32767,32767,32767,32767,32767
26463713,32767,32767,32767,32767,32767,32767
26467713,32767,32767,32767,32767,32767,32767
26471713,32767,32767,32767,32767,32767,32767
26475713,32767,32767,32767,32767,32767,32767
26479733,32767,32767,32767,32767,32767,32767
26483713,32767,32767,32767,32767,32767,32767
26487713,32767,32767,32767,32767,32767,32767
26491713,32767,32767,32767,32767,32767,32767
26495713,32767,32767,32767,32767,32767,32767
26499713,32767,32767,32767,32767,32767,32767
26503713,32767,32767,32767,32767,32767,32767
26507758,32767,32767,32767,32767,32767,32767
26511713,32767,32767,32767,32767,32767,32767
26515728,32767,32767,32767,32767,32767,32767
26519713,32767,32767,32767,32767,32767,32767
26523713,32767,32767,32767,32767,32767,32767
26527721,32767,32767,32767,32767,32767,32767
26531713,32767,32767,32767,32767,32767,32767
26535726,32767,32767,32767,32767,32767,32767
26539713,32767,32767,32767,32767,32767,32767
26543713,32767,32767,32767,32767,32767,32767
26547721,32767,32767,32767,32767,32767,32767
26551713,32767,32767,32767,32767,32767,32767
26555713,32767,32767,32767,32767,32767,32767
26559713,32767,32767,32767,32767,32767,32767
26563758,32767,32767,32767,32767,32767,32767
26567726,32767,32767,32767,32767,32767,32767
26571713,32767,32767,32767,32767,32767,32767
26575713,-31,32767,32767,32767,32767,32767
26579713,32767,32767,32767,32767,32767,32767
26587746,32767,32767,32767,32767,32767,32767
26591759,32767,32767,32767,32767,32767,32767
26595733,32767,32767,32767,32767,32767,32767
26599728,32767,32767,32767,32767,32767,32767
26603713,32767,32767,32767,32767,32767,32767
26607730,32767,32767,32767,32767,32767,32767
26611713,32767,32767,32767,32767,32767,32767
26615745,32767,32767,32767,32767,32767,32767
26619745,32767,32767,32767,32767,32767,32767
26623713,32767,32767,32767,32767,32767,32767
26627750,32767,32767,32767,32767,32767,32767
26631713,32767,32767,32767,32767,32767,32767
26635748,32767,32767,32767,32767,32767,32767
26639713,32767,32767,32767,32767,32767,32767
26643713,32767,32767,32767,32767,32767,32767
26647758,32767,32767,32767,32767,32767,32767
26651713,32767,32767,32767,32767,32767,32767
26655752,32767,32767,32767,32767,32767,32767
26659713,32767,32767,32767,32767,32767,32767
26663713,32767,32767,32767,32767,32767,32767
26667713,32767,32767,32767,32767,32767,32767
26671713,32767,32767,32767,32767,32767,32767
26675714,32767,32767,32767,32767,32767,32767
26680513,32767,32767,32767,32767,32767,32767
26684513,32767,32767,32767,32767,32767,32767
26688526,32767,32767,32767,32767,32767,32767
26692513,32767,32767,32767,32767,32767,32767
26696514,32767,32767,32767,32767,32767,32767
26700533,32767,32767,32767,32767,32767,32767
26704513,32767,32767,32767,32767,32767,32767
26708530,32767,32767,32767,32767,32767,32767
26712513,32767,32767,32767,32767,32767,32767
26716513,32767,32767,32767,32767,32767,32767
26720531,32767,32767,32767,32767,32767,32767
26724513,32767,32767,32767,32767,32767,32767
26728513,32767,32767,32767,32767,32767,32767
26732513,32767,32767,32767,32767,32767,32767
26736513,32767,32767,32767,32767,32767,32767
26740513,32767,32767,32767,32767,32767,32767
26744513,32767,32767,32767,32767,32767,32767
26748513,32767,32767,32767,32767,32767,32767
26752513,32767,32767,32767,32767,32767,32767
26756513,32767,32767,32767,32767,32767,32767
26760513,32767,32767,32767,32767,32767,32767
26764513,32767,32767,32767,32767,32767,32767
26768513,32767,32767,32767,32767,32767,32767
26772513,-45,32767,32767,32767,32767,32767
26776521,32767,32767,32767,32767,32767,32767
26780513,32767,32767,32767,32767,32767,32767
