timestamp,timestamp_last_valid,channels[0],channels[1],channels[2],channels[3],channels[4],channels[5],channels[6],channels[7],channels[8],channels[9],channels[10],channels[11],channels[12],channels[13],channels[14],channels[15],channels[16],channels[17],frame_drop_count,channel_count,function[0],function[1],function[2],function[3],function[4],function[5],function[6],function[7],function[8],function[9],function[10],function[11],function[12],function[13],function[14],function[15],function[16],function[17],function[18],function[19],function[20],function[21],function[22],function[23],function[24],function[25],rssi,signal_lost
25575431,0,-1.0,-0.99026763,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
25664169,0,-1.0,-0.98053527,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
25759888,0,-1.0,-0.9878346,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
25880340,0,-1.0,-0.9878346,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
25976846,0,-1.0,-0.9878346,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
26073206,0,-1.0,-0.99026763,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
26168952,0,-1.0,-0.99026763,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
26265534,0,-1.0,-0.99026763,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
26386060,0,-1.0,-0.99026763,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
26482609,0,-1.0,-0.99026763,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
26579422,0,-1.0,-0.99026763,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
26694831,0,-1.0,-0.99026763,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
26783372,0,-1.0,-0.99026763,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
26879427,0,-1.0,-0.9878346,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
26988014,0,-1.0,-0.9878346,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
27084708,0,-1.0,-0.9878346,0.0,1.0,-1.0,1.0,0.008163265,0.008163265,0.028,0.028,0.028,0.028,1.0,-1.0,0.028,0.028,1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,0
