timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
228851819,0.18394633,-0.19250387,0.49081865
228861784,0.18367037,-0.1945653,0.48511165
228871816,0.18259469,-0.19533294,0.48398763
228881784,0.18160088,-0.19133952,0.48955053
228891817,0.18415503,-0.19576403,0.48492596
228901784,0.18415503,-0.19576403,0.48492596
228911817,0.18421349,-0.19498017,0.485525
228921784,0.17868918,-0.19219287,0.48852175
228931802,0.18442981,-0.19556369,0.48616597
228941784,0.18466967,-0.19652699,0.48614252
228951817,0.18273741,-0.19324721,0.48895648
228961785,0.18367699,-0.19528238,0.484925
228971854,0.18448393,-0.19598936,0.48688793
228981785,0.18216538,-0.19277908,0.48935965
228991802,0.1813532,-0.19538353,0.48304462
229001785,0.1795996,-0.19538623,0.483064
229011819,0.18263784,-0.19238779,0.48726833
229021784,0.18407719,-0.19479804,0.48487362
229031786,0.18403749,-0.19539773,0.48599443
229041797,0.18368053,-0.1930172,0.48932382
229051817,0.1802693,-0.19510832,0.48440218
229061784,0.18391544,-0.19504155,0.48494142
229071803,0.18279308,-0.19254637,0.48963434
229081784,0.18483013,-0.19515961,0.48611194
229091817,0.18401138,-0.19422261,0.48448247
229101797,0.17931645,-0.19301109,0.48655897
229111817,0.18348716,-0.19619508,0.4857853
229121784,0.1844525,-0.195221,0.4855255
229131817,0.1836124,-0.19292614,0.48899812
229141786,0.18451142,-0.19483852,0.48611128
229151817,0.18386923,-0.19500446,0.48624623
229161784,0.18490382,-0.1936324,0.48853096
229171816,0.18405703,-0.19585581,0.48769304
229181820,0.18192318,-0.19512452,0.48494968
229191819,0.1839558,-0.19604264,0.48605168
229201830,0.18758893,-0.19511573,0.48245856
229211803,0.18254834,-0.19700111,0.47854653
229221784,0.18678373,-0.19061835,0.48494494
229231817,0.18965185,-0.19583891,0.48495495
229241784,0.18196434,-0.19227912,0.4815377
229251817,0.18387908,-0.19990323,0.48371834
229261784,0.18400675,-0.1882114,0.48011342
229271795,0.18738317,-0.19267978,0.479269
229281786,0.19083643,-0.19972236,0.47850507
229291794,0.19307329,-0.20075314,0.48058957
229301787,0.18717524,-0.20069304,0.47614065
229311797,0.18024978,-0.19892699,0.47595397
229321784,0.18694639,-0.2027674,0.47810316
229331798,0.18157837,-0.18976502,0.48568624
229341784,0.18656562,-0.18850961,0.4843546
229351820,0.18160367,-0.19449441,0.4804725
229361784,0.17935929,-0.19651279,0.48309967
229371827,0.18202014,-0.19622748,0.48671123
229381784,0.18459661,-0.1908093,0.48820582
229391821,0.18534823,-0.19224602,0.4782324
229401791,0.18507004,-0.19549748,0.47933835
229411805,0.17899227,-0.19085847,0.48221374
229421818,0.18423297,-0.19722374,0.4804751
229431785,0.18204626,-0.19220823,0.47697464
229441815,0.18199061,-0.19008471,0.48079562
229451786,0.18363868,-0.19085293,0.47250766
229461836,0.1794723,-0.19522484,0.47090983
229471804,0.1784872,-0.19516687,0.47397682
229481783,0.17629701,-0.19249678,0.46607482
229491843,0.1802349,-0.19542249,0.4696251
229501803,0.18803549,-0.19673571,0.45860016
229511815,0.18057476,-0.19423771,0.4532794
229521805,0.18626492,-0.1956234,0.46134797
229531816,0.17954828,-0.18581992,0.47326392
229541787,0.18015063,-0.19066212,0.47875348
229551816,0.18462156,-0.19666992,0.48075196
229561786,0.18347102,-0.19164701,0.479491
229571816,0.18211053,-0.19818692,0.4706603
229581785,0.18078291,-0.19187163,0.4788989
229591826,0.17998809,-0.19579102,0.48559323
229601821,0.17923929,-0.194806,0.47523907
229611815,0.18200094,-0.1964237,0.48050416
229621829,0.18095416,-0.19504566,0.48981258
229631803,0.18675064,-0.19683728,0.48587957
229641785,0.18279138,-0.19433928,0.48068288
229651817,0.18721883,-0.19628347,0.48615927
229661784,0.18931018,-0.19989641,0.47885317
229671817,0.19203274,-0.20093116,0.4762232
229681799,0.19393039,-0.20279098,0.47663662
229691817,0.1915687,-0.20397821,0.4735768
229701784,0.19443853,-0.20083939,0.47353783
229711817,0.18629892,-0.19457468,0.48063615
229721784,0.19273242,-0.1977263,0.47896478
229731817,0.18678813,-0.20107894,0.478072
229741784,0.1888236,-0.200542,0.48134342
229751817,0.1860961,-0.19566615,0.4796138
229761784,0.18765067,-0.19996588,0.47846577
229771804,0.17978531,-0.19729593,0.48007044
229781784,0.1861906,-0.1936431,0.47919482
229791817,0.18335743,-0.20237881,0.47594953
229801784,0.18240096,-0.1957788,0.48045814
229811858,0.18013711,-0.19775258,0.47688624
229821784,0.18665078,-0.19262038,0.47745034
229831802,0.18098992,-0.19680348,0.47980314
229841784,0.18048681,-0.1970686,0.4805107
229851821,0.1854181,-0.19627324,0.4785092
229861784,0.17979878,-0.19365528,0.48418897
229871833,0.18211477,-0.19752255,0.47729024
229881784,0.18252425,-0.1961397,0.4792269
229891817,0.18619189,-0.19331458,0.48140836
229901784,0.18203713,-0.1967171,0.47723264
229911820,0.18248445,-0.19562027,0.47810063
229921784,0.18464544,-0.1910163,0.48232713
229931817,0.18381406,-0.19444242,0.47655523
229941784,0.18341179,-0.19669081,0.47891372
229951818,0.1823557,-0.18956454,0.4772364
229961784,0.1859962,-0.19311354,0.4801844
229971817,0.18203682,-0.19439852,0.47274122
229981787,0.17963763,-0.19479391,0.47974035
229991817,0.17683502,-0.19618218,0.4778819
230001784,0.18170804,-0.19039018,0.47302565
230011817,0.18315698,-0.19243498,0.48385894
230021824,0.17772625,-0.19600073,0.47971418
230031817,0.17800975,-0.19828351,0.48070902
230041809,0.18508753,-0.19281743,0.48334357
230051819,0.18428186,-0.19668412,0.48359466
230061789,0.18394859,-0.19662942,0.4795058
230071834,0.17804204,-0.19591108,0.48429668
230081820,0.17931005,-0.19494578,0.4867393
230091792,0.1770231,-0.19444995,0.4838196
230101784,0.18222608,-0.19570734,0.48314637
230111810,0.17811629,-0.19100225,0.48894885
230121786,0.18296945,-0.1977655,0.4846544
230131791,0.18054992,-0.19249167,0.4854778
230141784,0.18021163,-0.19370998,0.48828062
230151805,0.1781562,-0.19587868,0.48332286
230161811,0.18363942,-0.1952372,0.48598564
230171791,0.18066333,-0.19348137,0.49352515
230181788,0.1833453,-0.19617888,0.48529136
230191846,0.18457212,-0.19349004,0.4866477
230201787,0.18272372,-0.1914117,0.48934317
230211858,0.18048924,-0.19384015,0.48494148
230221808,0.17776527,-0.19546452,0.48536214
230231841,0.18031405,-0.1920755,0.48988843
230241784,0.17975892,-0.19554676,0.48306432
230251820,0.18010476,-0.19543482,0.48454863
230261785,0.17885448,-0.19250856,0.488354
230271811,0.17918015,-0.19282897,0.48590758
230281785,0.18303776,-0.1955259,0.4849758
230291811,0.18106346,-0.19229133,0.4867263
230301784,0.17889798,-0.19657217,0.4848761
230311795,0.18071274,-0.19562235,0.48537973
230321785,0.17857057,-0.19023786,0.482872
230331796,0.18259469,-0.19146968,0.48623675
230341784,0.18227561,-0.19469076,0.48399764
230351795,0.17595388,-0.19012533,0.49151182
230361784,0.17888947,-0.19321072,0.4828663
230371795,0.18195276,-0.19677861,0.48636425
230381784,0.17654009,-0.1907526,0.4862093
230391796,0.18504506,-0.19350013,0.48454306
230401785,0.17948319,-0.19598326,0.48410058
230411819,0.18370007,-0.19347526,0.49102244
230421785,0.1761616,-0.19332936,0.47664744
230431816,0.17934361,-0.19403039,0.48579195
230441824,0.17713541,-0.19102654,0.48964748
230451816,0.17484859,-0.19206329,0.4844743
230461809,0.1783539,-0.19535454,0.4844893
230471803,0.18012364,-0.19146769,0.48851502
230481784,0.17862566,-0.19291861,0.48131663
230491817,0.18021482,-0.19332267,0.4814411
230501784,0.17866614,-0.19158903,0.48242268
230511816,0.18043287,-0.19368684,0.47303432
230521784,0.18043287,-0.19368684,0.47303432
230531816,0.17962076,-0.19284147,0.464468
230541784,0.17810671,-0.18941113,0.4554731
230551816,0.17724131,-0.19584249,0.45066082
230561784,0.1753144,-0.19725959,0.4375748
230571815,0.18109535,-0.18954796,0.44757986
230581784,0.17997965,-0.1934989,0.4430857
230591816,0.18493395,-0.19393279,0.45393336
230601784,0.17812788,-0.19193956,0.46387398
230611798,0.17922843,-0.19371441,0.46654615
230621784,0.17995778,-0.1940294,0.46395108
230631816,0.18101828,-0.19325846,0.4722535
230641784,0.1817799,-0.19402541,0.46874717
230651859,0.18064849,-0.19404161,0.46919605
230661784,0.18545078,-0.19006638,0.4730874
230671791,0.18202256,-0.19490574,0.46864504
230681784,0.18048182,-0.1960519,0.47165233
230691834,0.18132311,-0.19262238,0.47489583
230701784,0.18120196,-0.19203006,0.47156653
230711797,0.18075895,-0.19536722,0.47282696
230721784,0.18370222,-0.19399045,0.47746363
230731821,0.1818772,-0.19503601,0.4749986
230741784,0.18454038,-0.19218862,0.47404528
230751829,0.18542206,-0.19162598,0.47164783
230761784,0.18431988,-0.19350982,0.45327303
230771833,0.18438233,-0.19443321,0.4447606
230781784,0.18543158,-0.1927538,0.46687928
230791787,0.17886771,-0.19404453,0.38674
230801784,0.18169902,-0.19887306,0.42828444
230811795,0.18368459,-0.1923135,0.48021066
230821784,0.18250161,-0.19455627,0.41687208
230831814,0.18685932,-0.19222035,0.42656687
230841784,0.18095091,-0.19306296,0.48090476
230851796,0.17791425,-0.19351296,0.4361596
230861809,0.18390623,-0.1889906,0.43570605
230871791,0.18453003,-0.19282953,0.4788367
230881793,0.18441302,-0.19132152,0.4551436
230891824,0.18339789,-0.19348483,0.4500597
230901815,0.18409027,-0.18950514,0.47550514
230911808,0.18660516,-0.19152185,0.45399094
230921792,0.18707658,-0.19514972,0.45192945
230931855,0.18566163,-0.19089611,0.47388312
