timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
633715723,32767,32767,32767,32767,32767,-40,32767,32767
633719725,32767,32767,32767,32767,-67,32767,32767,32767
633723725,32767,32767,-45,32767,32767,32767,32767,32767
633727759,32767,32767,32767,32767,-43,-60,32767,32767
633731721,32767,32767,32767,32767,32767,32767,32767,32767
633735721,32767,32767,32767,32767,32767,-39,32767,32767
633739721,32767,32767,32767,32767,-53,32767,32767,32767
633743726,32767,32767,32767,32767,32767,32767,32767,32767
633747721,32767,32767,32767,32767,32767,-60,32767,32767
633751721,32767,32767,32767,32767,32767,32767,32767,32767
633755746,32767,32767,32767,32767,32767,-40,32767,32767
633759721,32767,32767,32767,32767,32767,32767,32767,32767
633763721,32767,32767,32767,32767,-71,32767,32767,32767
633767720,32767,32767,32767,32767,32767,-60,32767,32767
633771721,32767,32767,32767,32767,-43,32767,32767,32767
633775741,32767,32767,32767,32767,32767,-40,32767,32767
633779721,32767,32767,32767,32767,32767,32767,32767,32767
633783759,32767,32767,32767,32767,-53,32767,32767,32767
633787721,32767,32767,32767,32767,32767,-60,32767,32767
633791721,32767,32767,32767,32767,32767,32767,32767,32767
633795761,32767,32767,32767,32767,32767,-40,32767,32767
633799721,32767,32767,32767,32767,32767,32767,32767,32767
633803721,32767,32767,32767,32767,32767,32767,32767,32767
633807741,32767,32767,32767,32767,-67,-60,32767,32767
633811760,32767,32767,32767,32767,32767,32767,32767,32767
633815742,32767,32767,32767,32767,-43,-39,32767,32767
633819721,32767,32767,32767,32767,32767,32767,32767,32767
633823721,32767,32767,32767,32767,32767,32767,32767,32767
633827738,32767,32767,32767,32767,-53,-60,32767,32767
633831721,32767,32767,32767,32767,32767,32767,32767,32767
633835721,32767,32767,32767,32767,32767,-40,32767,32767
633839759,32767,32767,32767,32767,32767,32767,32767,32767
633843725,32767,32767,32767,32767,32767,32767,32767,32767
633847721,32767,32767,32767,32767,32767,-60,32767,32767
633851721,32767,32767,32767,32767,-71,32767,32767,32767
633855720,32767,32767,32767,32767,32767,-39,32767,32767
633859721,32767,32767,32767,32767,-43,32767,32767,32767
633863721,32767,32767,32767,32767,32767,32767,32767,32767
633867759,32767,32767,32767,32767,32767,-60,32767,32767
633871721,32767,32767,32767,32767,-52,32767,32767,32767
633875721,32767,32767,32767,32767,32767,-39,32767,32767
633879721,32767,32767,32767,32767,32767,32767,32767,32767
633883722,32767,32767,32767,32767,32767,32767,32767,32767
633887722,32767,32767,32767,32767,32767,-60,32767,32767
633891741,32767,32767,32767,32767,32767,32767,32767,32767
633895759,32767,32767,32767,32767,-68,-39,32767,32767
633899720,32767,32767,32767,32767,32767,32767,32767,32767
633903738,32767,32767,32767,32767,-43,32767,32767,32767
633907721,32767,32767,32767,32767,32767,-60,32767,32767
633911738,32767,32767,32767,32767,32767,32767,32767,32767
633915721,32767,32767,32767,32767,-53,-39,32767,32767
633919721,32767,32767,32767,32767,32767,32767,32767,32767
633923758,32767,32767,32767,32767,32767,32767,32767,32767
633927721,32767,32767,-53,32767,32767,-60,32767,32767
633931721,32767,32767,32767,32767,32767,32767,32767,32767
633935721,32767,32767,32767,32767,32767,-40,32767,32767
633939721,32767,32767,32767,32767,-70,32767,32767,32767
633943766,32767,32767,32767,32767,32767,32767,32767,32767
633947721,32767,32767,32767,32767,-43,-60,32767,32767
633951759,32767,32767,32767,32767,32767,32767,32767,32767
633955721,32767,32767,32767,32767,32767,-39,32767,32767
633959721,32767,32767,32767,32767,-53,32767,32767,32767
633963746,32767,32767,32767,32767,32767,32767,32767,32767
633967721,32767,32767,32767,32767,32767,-60,32767,32767
633971721,32767,32767,32767,32767,32767,32767,32767,32767
633975741,32767,32767,32767,32767,32767,-40,32767,32767
633979759,32767,32767,32767,32767,32767,32767,32767,32767
633983721,32767,32767,32767,32767,-67,32767,32767,32767
633987720,32767,32767,32767,32767,32767,-60,32767,32767
633991721,32767,32767,32767,32767,-43,32767,32767,32767
633995726,32767,32767,32767,32767,32767,-40,32767,32767
633999721,32767,32767,32767,32767,32767,32767,32767,32767
634003721,32767,32767,32767,32767,-53,32767,32767,32767
634007761,32767,32767,32767,32767,32767,-60,32767,32767
634011721,32767,32767,32767,32767,32767,32767,32767,32767
634015721,32767,32767,32767,32767,32767,-40,32767,32767
634019721,32767,32767,32767,32767,32767,32767,32767,32767
634023721,32767,32767,32767,32767,32767,32767,32767,32767
634027721,32767,32767,32767,32767,-71,-60,32767,32767
634031723,32767,32767,32767,32767,32767,32767,32767,32767
634035759,32767,32767,32767,32767,-43,-40,32767,32767
634039721,32767,32767,32767,32767,32767,32767,32767,32767
634043721,32767,32767,32767,32767,32767,32767,32767,32767
634047721,32767,32767,32767,32767,-53,-60,32767,32767
634051743,32767,32767,32767,32767,32767,32767,32767,32767
634055721,32767,32767,32767,32767,32767,-39,32767,32767
634059725,32767,32767,32767,32767,32767,32767,32767,32767
634063760,32767,32767,32767,32767,32767,32767,32767,32767
634067721,32767,32767,32767,32767,32767,-59,32767,32767
634071751,32767,32767,32767,32767,-66,32767,32767,32767
634075720,32767,32767,32767,32767,32767,-39,32767,32767
634079738,32767,32767,32767,32767,-43,32767,32767,32767
634083721,32767,32767,32767,32767,32767,32767,32767,32767
634087721,32767,32767,32767,32767,32767,-60,32767,32767
634091732,32767,32767,32767,32767,-53,32767,32767,32767
634095721,32767,32767,32767,32767,32767,-40,32767,32767
634099725,32767,32767,32767,32767,32767,32767,32767,32767
634103721,32767,32767,32767,32767,32767,32767,32767,32767
634107721,32767,32767,32767,32767,32767,-60,32767,32767
634111751,32767,32767,32767,32767,32767,32767,32767,32767
634115721,32767,32767,32767,32767,-71,-39,32767,32767
634119764,32767,32767,32767,32767,32767,32767,32767,32767
634123721,32767,32767,32767,32767,-43,32767,32767,32767
634127721,32767,32767,-52,32767,32767,-59,32767,32767
634131721,32767,32767,32767,32767,32767,32767,32767,32767
634135721,32767,32767,32767,32767,-53,-39,32767,32767
634139721,32767,32767,32767,32767,32767,32767,32767,32767
634143737,32767,32767,32767,32767,32767,32767,32767,32767
634147759,32767,32767,32767,32767,32767,-59,32767,32767
634151721,32767,32767,32767,32767,32767,32767,32767,32767
634155721,32767,32767,32767,32767,32767,-39,32767,32767
634159721,32767,32767,32767,32767,-66,32767,32767,32767
634163738,32767,32767,32767,32767,32767,32767,32767,32767
634168521,32767,32767,32767,32767,-51,-68,32767,32767
634172578,32767,32767,32767,32767,32767,32767,32767,32767
634177336,32767,32767,32767,32767,32767,-55,32767,32767
634181321,32767,32767,32767,32767,-69,32767,32767,32767
634185321,32767,32767,32767,32767,32767,32767,32767,32767
634189321,32767,32767,32767,32767,32767,-76,32767,32767
634193350,32767,32767,32767,32767,32767,32767,32767,32767
634197338,32767,32767,32767,32767,32767,-55,32767,32767
634201321,32767,32767,32767,32767,-66,32767,32767,32767
634205321,32767,32767,32767,32767,32767,32767,32767,32767
634209321,32767,32767,32767,32767,32767,-76,32767,32767
634213321,32767,32767,32767,32767,-71,32767,32767,32767
634217321,32767,32767,32767,32767,32767,-56,32767,32767
634221324,32767,32767,32767,32767,-49,32767,32767,32767
634225321,32767,32767,32767,32767,32767,32767,32767,32767
634229321,32767,32767,32767,32767,32767,-76,32767,32767
634233352,32767,32767,32767,32767,32767,32767,32767,32767
634237321,32767,32767,32767,32767,32767,-56,32767,32767
634241321,32767,32767,32767,32767,32767,32767,32767,32767
634245321,32767,32767,32767,32767,-72,32767,32767,32767
634249324,32767,32767,32767,32767,32767,-76,32767,32767
634253321,32767,32767,32767,32767,-49,32767,32767,32767
634257321,32767,32767,32767,32767,32767,-56,32767,32767
634261325,32767,32767,32767,32767,32767,32767,32767,32767
634265321,32767,32767,32767,32767,-68,32767,32767,32767
634269321,32767,32767,32767,32767,32767,-76,32767,32767
634273329,32767,32767,32767,32767,32767,32767,32767,32767
