timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
633701146,633701146,18,255,0,0,0,1094,1934,1094,1934,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
633905142,633905142,18,255,0,0,0,1094,1934,1094,1934,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
634105120,634105120,18,255,0,0,0,1215,1934,1094,1887,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
634318973,634318973,18,255,0,0,0,1351,1934,1094,1757,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
634510782,634510782,18,255,0,0,0,1452,1934,1094,1547,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
634708270,634708270,18,255,0,0,0,1495,1934,1094,1509,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
634932427,634932427,18,255,0,0,0,1514,1922,1094,1507,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
635136339,635136339,18,255,0,0,0,1514,1715,1094,1502,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
635337952,635337952,18,255,0,0,0,1514,1517,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
635533953,635533953,18,255,0,0,0,1514,1517,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
635737932,635737932,18,255,0,0,0,1514,1517,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
635938977,635938977,18,255,0,0,0,1514,1517,1094,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
636134747,636134747,18,255,0,0,0,1514,1517,1141,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
636354739,636354739,18,255,0,0,0,1514,1517,1207,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
636555621,636555621,18,255,0,0,0,1514,1517,1265,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
636751563,636751563,18,255,0,0,0,1514,1517,1327,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
636951599,636951599,18,255,0,0,0,1514,1517,1384,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
637161386,637161386,18,255,0,0,0,1514,1517,1427,1517,1094,1094,1094,1094,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
