timestamp,safety_switch_available,safety_off,override_available,override_enabled
633700571,1,1,0,0
633724573,1,1,0,0
633748569,1,1,0,0
633772570,1,1,0,0
633792570,1,1,0,0
633812893,1,1,0,0
633836579,1,1,0,0
633860571,1,1,0,0
633880570,1,1,0,0
633904570,1,1,0,0
633924571,1,1,0,0
633944570,1,1,0,0
633968563,1,1,0,0
633992780,1,1,0,0
634016548,1,1,0,0
634036570,1,1,0,0
634060549,1,1,0,0
634080542,1,1,0,0
634104548,1,1,0,0
634124555,1,1,0,0
634148553,1,1,0,0
634169362,1,1,0,0
634190149,1,1,0,0
634210345,1,1,0,0
634230169,1,1,0,0
634254153,1,1,0,0
634274159,1,1,0,0
634294189,1,1,0,0
634318382,1,1,0,0
634338164,1,1,0,0
634358159,1,1,0,0
634378164,1,1,0,0
634402239,1,1,0,0
634422237,1,1,0,0
634442229,1,1,0,0
634462541,1,1,0,0
634486162,1,1,0,0
634510210,1,1,0,0
634530192,1,1,0,0
634554129,1,1,0,0
634578148,1,1,0,0
634598151,1,1,0,0
634618147,1,1,0,0
634638149,1,1,0,0
634662173,1,1,0,0
634686152,1,1,0,0
634707694,1,1,0,0
634731786,1,1,0,0
634755751,1,1,0,0
634775763,1,1,0,0
634799770,1,1,0,0
634823770,1,1,0,0
634847692,1,1,0,0
634867756,1,1,0,0
634887773,1,1,0,0
634907771,1,1,0,0
634931851,1,1,0,0
634955771,1,1,0,0
634979810,1,1,0,0
635000128,1,1,0,0
635019797,1,1,0,0
635043705,1,1,0,0
635067827,1,1,0,0
635087785,1,1,0,0
635111735,1,1,0,0
635135749,1,1,0,0
635155796,1,1,0,0
635179984,1,1,0,0
635203728,1,1,0,0
635225371,1,1,0,0
635245373,1,1,0,0
635269411,1,1,0,0
635289607,1,1,0,0
635313356,1,1,0,0
635337374,1,1,0,0
635357375,1,1,0,0
635381370,1,1,0,0
635401374,1,1,0,0
635425379,1,1,0,0
635445382,1,1,0,0
635469538,1,1,0,0
635489348,1,1,0,0
635509373,1,1,0,0
635533352,1,1,0,0
635557370,1,1,0,0
635581282,1,1,0,0
635601329,1,1,0,0
635625392,1,1,0,0
635645348,1,1,0,0
635669390,1,1,0,0
635693362,1,1,0,0
635717348,1,1,0,0
635737352,1,1,0,0
635758480,1,1,0,0
635778169,1,1,0,0
635802193,1,1,0,0
635826169,1,1,0,0
635846170,1,1,0,0
635870155,1,1,0,0
635890174,1,1,0,0
635914169,1,1,0,0
635938342,1,1,0,0
635958189,1,1,0,0
635982233,1,1,0,0
636002274,1,1,0,0
636022259,1,1,0,0
636042274,1,1,0,0
636066148,1,1,0,0
636086162,1,1,0,0
636110200,1,1,0,0
636134170,1,1,0,0
636154506,1,1,0,0
636178193,1,1,0,0
636202201,1,1,0,0
636226361,1,1,0,0
636246170,1,1,0,0
636270129,1,1,0,0
636290138,1,1,0,0
636310151,1,1,0,0
636334350,1,1,0,0
636354167,1,1,0,0
636378154,1,1,0,0
636398088,1,1,0,0
636422172,1,1,0,0
636446166,1,1,0,0
636467009,1,1,0,0
636487010,1,1,0,0
636510954,1,1,0,0
636534915,1,1,0,0
636554996,1,1,0,0
636574922,1,1,0,0
636598880,1,1,0,0
636623196,1,1,0,0
636642970,1,1,0,0
636666882,1,1,0,0
636686952,1,1,0,0
