timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
633715723,-0.006130992,-0.008668545,-0.0041191243,4001,0,0.69152635,1.0349886,-9.834792,4001
633719725,-0.0071348166,-0.007753166,-0.002845506,4002,0,0.6958617,1.0573281,-9.833885,4002
633723725,-0.006745737,-0.008542074,-0.004775789,4000,0,0.7041272,1.0398464,-9.779843,4000
633727759,-0.0069499593,-0.009912513,-0.0050367117,4034,0,0.710971,1.0504602,-9.812964,4034
633731721,-0.0068704314,-0.008664782,-0.004357161,3962,0,0.6767907,1.0410802,-9.77557,3962
633735721,-0.0062171947,-0.009714049,-0.004691933,4000,0,0.6885367,1.046472,-9.7634735,4000
633739721,-0.007401163,-0.010685536,-0.004336436,4000,0,0.7011706,1.0421947,-9.778936,4000
633743726,-0.0076500457,-0.009444359,-0.0033451577,4005,0,0.69414794,1.0395623,-9.813791,4005
633747721,-0.008685069,-0.010798799,-0.0041732388,3995,0,0.65905446,1.0726358,-9.779378,3995
633751721,-0.0066202567,-0.009373788,-0.005330861,4000,0,0.68966186,1.0664984,-9.809305,4000
633755746,-0.006120766,-0.0101410905,-0.0045946655,4025,0,0.6892419,1.0361216,-9.787818,4025
633759721,-0.0082160905,-0.0103338845,-0.0054184403,3975,0,0.6848282,1.0280263,-9.780416,3975
633763721,-0.007828329,-0.009198708,-0.0043022465,4000,0,0.6703532,1.0399548,-9.770468,4000
633767720,-0.007828085,-0.008771953,-0.004287264,3999,0,0.68043214,1.025514,-9.822042,3999
633771721,-0.006449773,-0.009405029,-0.004260291,4001,0,0.67784667,1.0396469,-9.788998,4001
633775741,-0.0061899675,-0.009786033,-0.0024539928,4020,0,0.69684,1.031632,-9.820336,4020
633779721,-0.005368534,-0.009824492,-0.004562483,3980,0,0.70023584,1.0155666,-9.833246,3980
633783759,-0.0062768315,-0.008577148,-0.0032627552,4038,0,0.69628036,1.0181278,-9.82356,4038
633787721,-0.0061404826,-0.0077333474,-0.0035627536,3962,0,0.6444224,1.0310639,-9.805368,3962
633791721,-0.006654787,-0.010784919,-0.004419838,4000,0,0.6762244,1.0667168,-9.7740555,4000
633795761,-0.0067863013,-0.009324067,-0.0036270574,4040,0,0.71007437,1.07032,-9.810699,4040
633799721,-0.0053678304,-0.009397485,-0.004445285,3960,0,0.6890008,1.0249723,-9.792795,3960
633803721,-0.0065126778,-0.009266727,-0.0053241793,4000,0,0.6879415,1.0519435,-9.829532,4000
633807741,-0.006649756,-0.009085107,-0.0043632817,4020,0,0.6844797,1.074271,-9.785078,4020
633811760,-0.005800832,-0.0097242715,-0.0044637793,4019,0,0.712408,1.0475067,-9.767338,4019
633815742,-0.0073741963,-0.008823124,-0.005434629,3982,0,0.693042,1.0571364,-9.772891,3982
633819721,-0.006675617,-0.008257791,-0.0036959704,3979,0,0.68799126,1.0482664,-9.775372,3979
633823721,-0.0059913746,-0.008104564,-0.0050546075,4000,0,0.6617286,1.0476071,-9.7973585,4000
633827738,-0.006231787,-0.008553258,-0.004330845,4017,0,0.6500262,1.0175245,-9.7827,4017
633831721,-0.0075215017,-0.0097405845,-0.003987762,3983,0,0.68906564,1.0230966,-9.8194,3983
633835721,-0.0070326924,-0.010206471,-0.0027094176,4000,0,0.6929284,1.007826,-9.833245,4000
633839759,-0.0071047232,-0.009629336,-0.003971454,4038,0,0.7161325,1.0416449,-9.788911,4038
633843725,-0.007629691,-0.01060634,-0.0038031458,3966,0,0.69964063,1.053008,-9.792089,3966
633847721,-0.007272454,-0.010558232,-0.0049669337,3996,0,0.673191,1.0574051,-9.822666,3996
633851721,-0.0077874577,-0.009264962,-0.005475015,4000,0,0.69029325,1.0405158,-9.785615,4000
