timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
633716587,-0.45973715,0.41761306,0.65654874,-1.0025325,0.886453,-0.2760728,0.11919639,0.35181996,0.12,1.0,1,0,0,0,0,0,0
633817008,-0.45973715,0.41761306,0.656583,-1.0025325,0.8864469,-0.27607486,0.119191654,0.35183516,0.12,1.0,1,0,0,0,0,0,0
633921046,-0.45973715,0.41761306,0.6565813,-1.0025325,0.8864472,-0.27607474,0.119191885,0.3518344,0.12,1.0,1,0,0,0,0,0,0
634020535,-0.45973715,0.41761306,0.6566247,-1.0025325,0.88643956,-0.27607733,0.1191859,0.3518536,0.12,1.0,1,0,0,0,0,0,0
634121053,-0.4100328,0.466405,0.65612936,-1.0025325,0.8865948,-0.26041076,0.15036693,0.35146233,0.12,1.0,1,0,0,0,0,0,0
634222251,-0.29795957,0.5415522,0.6734061,-1.0025325,0.88626796,-0.22238047,0.20241274,0.35228556,0.12,1.0,1,0,0,0,0,0,0
634326250,-0.254133,0.5617299,0.68307126,-1.0025325,0.8862569,-0.20681754,0.21828991,0.3523135,0.12,1.0,1,0,0,0,0,0,0
634426472,-0.20056032,0.5810118,0.6954714,-1.0025325,0.88645667,-0.18729514,0.23525412,0.3518106,0.12,1.0,1,0,0,0,0,0,0
634530708,-0.10258819,0.6032758,0.7242705,-1.0025325,0.8863512,-0.1508918,0.26010698,0.352076,0.12,1.0,1,0,0,0,0,0,0
634634536,-0.04424727,0.60946465,0.7424423,-1.0025325,0.8863253,-0.12847841,0.2718773,0.35214123,0.12,1.0,1,0,0,0,0,0,0
634736207,-0.017740456,0.6106404,0.7514083,-1.0025325,0.88621294,-0.11816339,0.27651653,0.35242411,0.12,1.0,1,0,0,0,0,0,0
634835767,-0.0007492092,0.6108648,0.7568305,-1.0025325,0.8862011,-0.11142716,0.27929905,0.3524538,0.12,1.0,1,0,0,0,0,0,0
634935978,-3.0685155e-06,0.61086524,0.7567228,-1.0025325,0.8862615,-0.11108156,0.27943668,0.35230184,0.12,1.0,1,0,0,0,0,0,0
635040119,2.236742e-07,0.525409,0.75711924,-1.0025325,0.89731824,-0.095977955,0.24130644,0.35690248,0.12,1.0,1,0,0,0,0,0,0
635139771,1.4359293e-08,0.39532864,0.7573963,-1.0025325,0.9110544,-0.07260375,0.18246554,0.3625121,0.12,1.0,1,0,0,0,0,0,0
635241359,1.00385734e-10,0.13296914,0.75722504,-1.0025325,0.9271255,-0.0245567,0.061730526,0.36881498,0.12,1.0,1,0,0,0,0,0,0
635345419,-1.0890042e-12,-0.003459736,0.75809926,-1.0025325,0.9290154,0.0006401161,-0.0016070757,0.37003717,0.12,1.0,1,0,0,0,0,0,0
635446073,-1.7287506e-13,2.9529947e-05,0.7602358,-1.0025325,0.9286209,-5.478247e-06,1.3711063e-05,0.37102994,0.12,1.0,1,0,0,0,0,0,0
635545388,-1.8069178e-15,1.629441e-06,0.7602687,-3.6672027e-08,0.9286148,-3.0229816e-07,7.565615e-07,0.37104523,0.12,1.0,1,0,0,0,0,0,0
635649422,1.086018e-16,4.9706863e-08,0.7602687,3.0531797e-09,0.9286148,-9.221747e-09,2.3079265e-08,0.37104523,0.12,1.0,1,0,0,0,0,0,0
635750051,0.0,-0.0,0.7602687,5.2165706e-11,0.9286148,0.0,0.0,0.37104523,0.12,1.0,1,0,0,0,0,0,0
635850597,0.0,-0.0,0.7602687,-8.7135193e-13,0.9286148,0.0,0.0,0.37104523,0.12,1.0,1,0,0,0,0,0,0
635954434,0.0,-0.0,0.7602687,-2.999473e-14,0.9286148,0.0,0.0,0.37104523,0.12,1.0,1,0,0,0,0,0,0
636054063,0.0,-0.0,0.7602687,-5.9895606e-16,0.9286148,0.0,0.0,0.37104523,0.12,1.0,1,0,0,0,0,0,0
636154732,0.0,-0.0,0.7602687,4.091241e-18,0.9286148,0.0,0.0,0.37104523,0.120000005,1.0,1,0,0,0,0,0,0
636258587,0.0,-0.0,0.76135856,-8.334326e-18,0.92841244,0.0,0.0,0.37155122,0.12,1.0,1,0,0,0,0,0,0
636358070,0.0,-0.0,0.7617898,-8.334326e-18,0.9283323,0.0,0.0,0.37175137,0.12,1.0,1,0,0,0,0,0,0
636459351,0.0,-0.0,0.76221097,-8.334326e-18,0.928254,0.0,0.0,0.37194687,0.12,1.0,1,0,0,0,0,0,0
636563359,0.0,-0.0,0.7621154,-8.334326e-18,0.9282718,0.0,0.0,0.37190253,0.12,1.0,1,0,0,0,0,0,0
636663063,0.0,-0.0,0.76250046,-8.334326e-18,0.9282002,0.0,0.0,0.37208122,0.12,1.0,1,0,0,0,0,0,0
636763220,0.0,-0.0,0.76258624,-8.334326e-18,0.9281842,0.0,0.0,0.37212104,0.12,1.0,1,0,0,0,0,0,0
636867455,0.0,-0.0,0.7629215,-8.334326e-18,0.92812186,0.0,0.0,0.37227663,0.12,1.0,1,0,0,0,0,0,0
636966880,0.0,-0.0,0.7631567,-8.334326e-18,0.928078,0.0,0.0,0.37238577,0.12,1.0,1,0,0,0,0,0,0
637070880,0.0,-0.0,0.7631114,-8.334326e-18,0.92808646,0.0,0.0,0.37236476,0.12,1.0,1,0,0,0,0,0,0
637173182,0.0,-0.0,0.7633599,-8.334326e-18,0.9280402,0.0,0.0,0.37248006,0.12,1.0,1,0,0,0,0,0,0
637276793,0.0,-0.0,0.76351947,-8.334326e-18,0.9280105,0.0,0.0,0.3725541,0.12,1.0,1,0,0,0,0,0,0
637376691,0.0,-0.0,0.7632163,-8.334326e-18,0.9280669,0.0,0.0,0.37241343,0.12,1.0,1,0,0,0,0,0,0
637480641,0.0,-0.0,0.7637775,-8.334326e-18,0.92796236,0.0,0.0,0.3726738,0.12,1.0,1,0,0,0,0,0,0
637581628,0.0,-0.0,0.7638346,-8.334326e-18,0.92795175,0.0,0.0,0.3727003,0.12,1.0,1,0,0,0,0,0,0
637681375,0.0,-0.0,0.76367605,-8.334326e-18,0.9279813,0.0,0.0,0.37262675,0.12,1.0,1,0,0,0,0,0,0
637783274,0.0,-0.0,0.7648368,-8.334326e-18,0.9277649,0.0,0.0,0.37316525,0.12,1.0,1,0,0,0,0,0,0
637886458,0.0,-0.0,0.764017,-8.334326e-18,0.9279178,0.0,0.0,0.37278494,0.12,1.0,1,0,0,0,0,0,0
637986223,0.0,-0.0,0.7643839,-8.334326e-18,0.92784935,0.0,0.0,0.37295517,0.12,1.0,1,0,0,0,0,0,0
638086422,0.0,-0.0,0.7648778,-8.334326e-18,0.92775726,0.0,0.0,0.3731843,0.12,1.0,1,0,0,0,0,0,0
638190405,0.0,-0.0,0.76516724,-8.334326e-18,0.9277032,0.0,0.0,0.37331855,0.12,1.0,1,0,0,0,0,0,0
638291469,0.0,-0.0,0.7649947,-8.334326e-18,0.92773545,0.0,0.0,0.3732385,0.12,1.0,1,0,0,0,0,0,0
638390859,0.0,-0.0,0.7656609,-8.334326e-18,0.92761105,0.0,0.0,0.37354752,0.12,1.0,1,0,0,0,0,0,0
638494963,0.0,-0.0,0.76471776,-8.334326e-18,0.9277871,0.0,0.0,0.37311006,0.12,1.0,1,0,0,0,0,0,0
638595390,0.0,-0.0,0.7652537,-8.334326e-18,0.9276871,0.0,0.0,0.37335867,0.12,1.0,1,0,0,0,0,0,0
638695058,0.0,-0.0,0.76706576,-8.334326e-18,0.9273484,0.0,0.0,0.374199,0.12,1.0,1,0,0,0,0,0,0
638798946,0.0,-0.0,0.766511,-8.334326e-18,0.9274522,0.0,0.0,0.37394178,0.12,1.0,1,0,0,0,0,0,0
638899187,0.0,-0.0,0.7656315,-8.334326e-18,0.92761654,0.0,0.0,0.37353387,0.12,1.0,1,0,0,0,0,0,0
639000559,0.0,-0.0,0.76705754,-8.334326e-18,0.92735,0.0,0.0,0.3741952,0.12,1.0,1,0,0,0,0,0,0
639104651,0.0,-0.0,0.7672272,-8.334326e-18,0.9273182,0.0,0.0,0.37427384,0.12,1.0,1,0,0,0,0,0,0
639204824,0.0,-0.0,0.76753885,-8.334326e-18,0.92725986,0.0,0.0,0.37441835,0.12,1.0,1,0,0,0,0,0,0
639304574,0.0,-0.0,0.7674969,-8.334326e-18,0.92726773,0.0,0.0,0.3743989,0.12,1.0,1,0,0,0,0,0,0
639408585,0.0,-0.0,0.7678146,-8.334326e-18,0.92720824,0.0,0.0,0.3745462,0.12,1.0,1,0,0,0,0,0,0
639510161,0.0,-0.0,0.7679015,-8.334326e-18,0.927192,0.0,0.0,0.37458646,0.12,1.0,1,0,0,0,0,0,0
639610441,0.0,-0.0,0.7685009,-8.334326e-18,0.9270797,0.0,0.0,0.37486437,0.12,1.0,1,0,0,0,0,0,0
639710275,0.0,-0.0,0.7688871,-8.334326e-18,0.92700726,0.0,0.0,0.37504336,0.12,1.0,1,0,0,0,0,0,0
639814168,0.0,-0.0,0.7679645,-8.334326e-18,0.9271802,0.0,0.0,0.3746157,0.12,1.0,1,0,0,0,0,0,0
639914332,0.0,-0.0,0.76825,-8.334326e-18,0.9271267,0.0,0.0,0.37474805,0.12,1.0,1,0,0,0,0,0,0
640015781,0.0,-0.0,0.76831716,-8.334326e-18,0.92711407,0.0,0.0,0.37477916,0.12,1.0,1,0,0,0,0,0,0
640116191,0.0,-0.0,0.7683061,-8.334326e-18,0.92711616,0.0,0.0,0.37477404,0.12,1.0,1,0,0,0,0,0,0
640220262,0.0,-0.0,0.76854277,-8.334326e-18,0.9270718,0.0,0.0,0.37488374,0.12,1.0,1,0,0,0,0,0,0
640319657,0.0,-0.0,0.76882225,-8.334326e-18,0.9270194,0.0,0.0,0.3750133,0.12,1.0,1,0,0,0,0,0,0
640423822,0.0,-0.0,0.7685982,-8.334326e-18,0.92706144,0.0,0.0,0.37490946,0.12,1.0,1,0,0,0,0,0,0
640525696,0.0,-0.0,0.7695075,-8.334326e-18,0.9268909,0.0,0.0,0.37533092,0.12,1.0,1,0,0,0,0,0,0
640625270,0.0,-0.0,0.76886195,-8.334326e-18,0.927012,0.0,0.0,0.3750317,0.12,1.0,1,0,0,0,0,0,0
640725631,0.0,-0.0,0.7696224,-8.334326e-18,0.92686933,0.0,0.0,0.37538415,0.12,1.0,1,0,0,0,0,0,0
640829613,0.0,-0.0,0.7692074,-8.334326e-18,0.9269472,0.0,0.0,0.37519184,0.12,1.0,1,0,0,0,0,0,0
640929623,0.0,-0.0,0.76997143,-8.334326e-18,0.9268038,0.0,0.0,0.3755459,0.12,1.0,1,0,0,0,0,0,0
641030970,0.0,-0.0,0.77006596,-8.334326e-18,0.92678607,0.0,0.0,0.3755897,0.12,1.0,1,0,0,0,0,0,0
641131400,0.0,-0.0,0.7695348,-8.334326e-18,0.9268857,0.0,0.0,0.37534356,0.12,1.0,1,0,0,0,0,0,0
641235411,0.0,-0.0,0.76970345,-8.334326e-18,0.92685413,0.0,0.0,0.3754217,0.12,1.0,1,0,0,0,0,0,0
641334968,0.0,-0.0,0.7711014,-8.334326e-18,0.92659146,0.0,0.0,0.3760695,0.12,1.0,1,0,0,0,0,0,0
641438876,0.0,-0.0,0.7709052,-8.334326e-18,0.92662835,0.0,0.0,0.37597856,0.12,1.0,1,0,0,0,0,0,0
641540110,0.0,-0.0,0.77098966,-8.334326e-18,0.9266125,0.0,0.0,0.3760177,0.12,1.0,1,0,0,0,0,0,0
641640586,0.0,-0.0,0.7712691,-8.334326e-18,0.92656,0.0,0.0,0.37614715,0.12,1.0,1,0,0,0,0,0,0
641740996,0.0,-0.0,0.7708934,-8.334326e-18,0.92663056,0.0,0.0,0.3759731,0.12,1.0,1,0,0,0,0,0,0
641845077,0.0,-0.0,0.77095526,-8.334326e-18,0.926619,0.0,0.0,0.37600178,0.12,1.0,1,0,0,0,0,0,0
641944597,0.0,-0.0,0.7717424,-8.334326e-18,0.9264709,0.0,0.0,0.3763664,0.12,1.0,1,0,0,0,0,0,0
642045097,0.0,-0.0,0.77160835,-8.334326e-18,0.9264961,0.0,0.0,0.37630433,0.12,1.0,1,0,0,0,0,0,0
642146467,0.0,-0.0,0.77151155,-8.334326e-18,0.9265143,0.0,0.0,0.37625948,0.12,1.0,1,0,0,0,0,0,0
642250389,0.0,-0.0,0.7716717,-8.334326e-18,0.92648417,0.0,0.0,0.37633368,0.12,1.0,1,0,0,0,0,0,0
642350253,0.0,-0.0,0.77145004,-8.334326e-18,0.9265259,0.0,0.0,0.37623098,0.12,1.0,1,0,0,0,0,0,0
642450375,0.0,-0.0,0.7721707,-8.334326e-18,0.9263903,0.0,0.0,0.37656483,0.12,1.0,1,0,0,0,0,0,0
642554629,0.0,-0.0,0.77229595,-8.334326e-18,0.9263667,0.0,0.0,0.37662283,0.12,1.0,1,0,0,0,0,0,0
642655864,0.0,-0.0,0.77273977,-8.334326e-18,0.92628306,0.0,0.0,0.3768284,0.12,1.0,1,0,0,0,0,0,0
642756077,0.0,-0.0,0.77222854,-8.334326e-18,0.9263794,0.0,0.0,0.3765916,0.12,1.0,1,0,0,0,0,0,0
642859998,0.0,-0.0,0.77230513,-8.334326e-18,0.92636496,0.0,0.0,0.3766271,0.12,1.0,1,0,0,0,0,0,0
642959763,0.0,-0.0,0.77269375,-8.334326e-18,0.92629176,0.0,0.0,0.37680706,0.12,1.0,1,0,0,0,0,0,0
643060056,0.0,-0.0,0.77256876,-8.334326e-18,0.9263153,0.0,0.0,0.3767492,0.12,1.0,1,0,0,0,0,0,0
643161408,0.0,-0.0,0.77221286,-8.334326e-18,0.9263823,0.0,0.0,0.37658435,0.12,1.0,1,0,0,0,0,0,0
643265444,0.0,-0.0,0.7726047,-8.334326e-18,0.9263085,0.0,0.0,0.37676585,0.12,1.0,1,0,0,0,0,0,0
643365611,0.0,-0.0,0.773231,-8.334326e-18,0.9261905,0.0,0.0,0.3770559,0.12,1.0,1,0,0,0,0,0,0
643465422,0.0,-0.0,0.77371585,-8.334326e-18,0.92609906,0.0,0.0,0.3772804,0.12,1.0,1,0,0,0,0,0,0
643569258,0.0,-0.0,0.77301204,-8.334326e-18,0.92623174,0.0,0.0,0.3769545,0.12,1.0,1,0,0,0,0,0,0
643670668,0.0,-0.0,0.77247965,-8.334326e-18,0.9263321,0.0,0.0,0.3767079,0.12,1.0,1,0,0,0,0,0,0
643770196,0.0,-0.0,0.77425593,-8.334326e-18,0.9259972,0.0,0.0,0.3775305,0.12,1.0,1,0,0,0,0,0,0
643874184,0.0,-0.0,0.77356833,-8.334326e-18,0.9261269,0.0,0.0,0.3772121,0.12,1.0,1,0,0,0,0,0,0
643974376,0.0,-0.0,0.7739845,-8.334326e-18,0.9260484,0.0,0.0,0.3774048,0.12,1.0,1,0,0,0,0,0,0
644074186,0.0,-0.0,0.77530533,-8.334326e-18,0.92579895,0.0,0.0,0.3780163,0.12,1.0,1,0,0,0,0,0,0
644178276,0.0,-0.0,0.77466965,-8.334326e-18,0.92591906,0.0,0.0,0.37772202,0.12,1.0,1,0,0,0,0,0,0
644278456,0.007556152,0.094284646,0.7744967,-8.334326e-18,0.9249836,-0.014301777,0.04506021,0.37705484,0.12,1.0,1,0,0,0,0,0,0
644380911,0.07146726,0.4408565,0.79053956,-8.334326e-18,0.9029952,-0.05196454,0.21508309,0.36829135,0.12,1.0,1,0,0,0,0,0,0
644484147,0.09774971,0.603981,0.8056011,-8.334326e-18,0.88298213,-0.073537394,0.2915754,0.36044243,0.12,1.0,1,0,0,0,0,0,0
644583657,0.099310376,0.6037575,0.71881956,-1.1921377,0.8978624,-0.06008085,0.29464266,0.32158867,0.12,1.0,1,0,0,0,0,0,0
644684031,0.09433376,0.60445774,0.59544474,-1.1927584,0.9157783,-0.044184096,0.29744196,0.26631984,0.12,1.0,1,0,0,0,0,0,0
644788954,0.092073,0.6047637,0.47261003,-1.1300247,0.93032545,-0.026932051,0.2994973,0.20992973,0.12,1.0,1,0,0,0,0,0,0
